# FuelCalculationMethod = MassAirFlow
Time, Latitude (deg), Longitude (deg), Vehicle speed (MPH), Accel X (g), Accel Y (g), Accel Z (g), Engine RPM (RPM), Actual engine - percent torque (%), Instant fuel economy (MPG), Total fuel economy (MPG), Fuel rate (gal/hr), Rotation Rate X (deg/s), Rotation Rate Y (deg/s), Rotation Rate Z (deg/s), Roll (deg), Pitch (deg), Engine coolant temperature (C), Intake manifold absolute pressure (psi), Intake air temperature (C), Mass air flow rate (lb/min), Time since engine start (sec), Engine oil temperature (C), Engine fuel rate (gal/hr), Driver's demand engine - percent torque (%), Engine reference torque (lb•ft), Acceleration (g), Acceleration (Avg) (g), Engine Power (hp), Engine Torque (lb•ft), A/F Commanded, A/F Actual, Fuel Remaining (gal), GPS Speed (MPH), Accel (Grav) X (g), Accel (Grav) Y (g), Accel (Grav) Z (g), Distance traveled while MIL is activated (miles), Total engine run time (sec), Total idle run time (sec), Altitude (ft), Boost (psi)
03/08/2017 08:27:25.1452 AM,33.77753,-84.37078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.230315,0,0,0,0,0,0,848.5903,0
03/08/2017 08:27:26.0810 AM,33.77753,-84.3708,0,-0.02726477,0.3748935,0.1605761,789,0,0,0,0,-0.9256592,-1.579407,0.249939,-2.544362,-23.33682,34,0,0,0,0,0,0,0,0,0,0,0,73.24117,0,0,0,1.610594,0.05436707,-0.9083405,-0.3901672,0,0,0,859.3326,0
03/08/2017 08:27:27.0570 AM,33.77755,-84.3708,0,-0.02740782,0.1358864,0.06423993,789,0,0,0,0,-0.2658844,-3.098892,2.025558,-2.46376,-24.0555,34,0,0,0,0,0,0,0,0,0,0,0,73.24117,0,0,0,1.76718,0.06642151,-0.9104614,-0.405426,0,0,0,866.5803,0
03/08/2017 08:27:28.0607 AM,33.77755,-84.37081,0,0.009408181,0.04237037,0.003680963,789,0,0,0,0,-0.6735992,-2.318176,-2.123016,-2.293113,-22.94294,34,8.412189,12,0,77,0,0,0,0,0,0,0,73.24117,0,0,0,2.192198,0.02832031,-0.9087219,-0.3716278,0,0,0,866.6656,-6.091585
03/08/2017 08:27:29.0866 AM,33.77756,-84.37082,1.864114,-0.01715393,0.01209649,0.03484161,789,0,2.651109,26.96053,0.7031447,-0.9914093,-7.316589,-4.049896,-2.223201,-23.21158,34,8.412189,12,1.0584,77,0,0,0,0,0.006407388,0.001281478,9.640895,73.24117,0,13.74835,7.85098,2.125089,0.05343628,-0.9122009,-0.4158173,0,0,0,863.0007,-6.091585
03/08/2017 08:27:30.0665 AM,33.77757,-84.37083,1.864114,0.02896622,0.004035704,0.02525143,739.5,0,2.651109,26.96053,0.7031447,1.018234,-8.659729,-2.821625,-1.996566,-25.1402,35,7.977076,12,1.0584,79,0,0,0,0,0.006407388,0.001281478,9.640895,68.47204,14.63157,13.74835,7.85098,1.722441,0.01565552,-0.9074402,-0.4307861,0,0,0,864.4998,-6.38166
03/08/2017 08:27:31.0748 AM,33.77757,-84.37084,1.864114,0.01301705,-0.01304015,0.01242176,739.5,0,2.651109,26.96053,0.7031447,0.5292969,-9.818924,-4.096664,-2.655329,-25.34122,35,7.977076,12,1.0584,79,0,0,0,0,0.006407388,0.001281478,9.640895,68.47204,14.63157,14.57754,7.85098,1.834288,0.02836609,-0.8856506,-0.4296112,0,0,0,874.1474,-6.38166
03/08/2017 08:27:32.0772 AM,33.77758,-84.37085,1.864114,0.004291163,-0.0003718738,-0.003975897,694.5,0,2.757308,26.95901,0.6760629,1.009689,-12.86754,-4.751816,-2.773568,-25.32354,35,8.122113,12,1.017387,79,0,0,0,0,0.006407388,0.001281478,9.269573,70.10057,14.63514,14.57754,7.85098,2.214567,0.04296875,-0.9029083,-0.4165344,0,0,0,871.4743,-6.236623
03/08/2017 08:27:33.0781 AM,33.77758,-84.37086,1.864114,-0.0184455,0.003470358,0.03607141,694.5,0,2.757308,26.95901,0.6760629,-1.181839,-10.3036,-5.254837,-4.075302,-25.63847,35,8.122113,12,1.017387,79,0,0,0,0,0.006407388,0.001281478,9.269573,70.10057,14.63514,14.70971,7.85098,1.834288,0.08132935,-0.9043579,-0.457489,0,0,0,868.423,-6.236623
03/08/2017 08:27:34.0810 AM,33.77759,-84.37086,1.864114,0.02088143,-0.01470589,-0.006921014,694.5,0,2.671143,26.95771,0.6978711,-0.5877838,-12.49147,-3.049515,-3.077236,-26.27243,35,8.122113,12,1.050462,79,0,0,0,0,0,0.001281478,9.568588,70.10057,14.63157,14.70971,7.85098,1.946135,0.03993225,-0.8798828,-0.4281921,0,0,0,867.5162,-6.236623
03/08/2017 08:27:35.0673 AM,33.7776,-84.37086,1.864114,0.00131494,-0.0002609875,-0.008245982,709,0,2.671143,26.95771,0.6978711,-1.054138,-7.49852,-3.866287,-3.135374,-25.13478,35,8.122113,12,1.050462,79,0,0,0,0,0,0.001281478,9.568588,70.88196,14.63157,14.69899,7.85098,2.125089,0.06411743,-0.9026489,-0.4095764,0,0,0,867.787,-6.236623
