# FuelCalculationMethod = MassAirFlow
Time, Latitude (deg), Longitude (deg), Vehicle speed (MPH), Accel X (g), Accel Y (g), Accel Z (g), Engine RPM (RPM), Actual engine - percent torque (%), Instant fuel economy (MPG), Total fuel economy (MPG), Fuel rate (gal/hr), Rotation Rate X (deg/s), Rotation Rate Y (deg/s), Rotation Rate Z (deg/s), Roll (deg), Pitch (deg), Engine coolant temperature (C), Intake manifold absolute pressure (psi), Intake air temperature (C), Mass air flow rate (lb/min), Time since engine start (sec), Engine oil temperature (C), Engine fuel rate (gal/hr), Driver's demand engine - percent torque (%), Engine reference torque (lb•ft), Boost (psi), Acceleration (g), Acceleration (Avg) (g), Engine Power (hp), Engine Torque (lb•ft), A/F Commanded, A/F Actual, Fuel Remaining (gal), GPS Speed (MPH), Accel (Grav) X (g), Accel (Grav) Y (g), Accel (Grav) Z (g), Distance traveled while MIL is activated (miles), Total engine run time (sec), Total idle run time (sec), Altitude (ft)
02/27/2017 08:32:48.1372 AM,33.77702,-84.3723,22.36936,0.09930684,0.00449725,-0.0307732,1225.5,0,27.28495,24.18841,0.8198424,1.629166,-6.767807,-0.7576141,-0.6369659,-22.45574,32,5.946547,9,1.234359,118,0,0,0,0,-8.412189,-0.003293318,0.09362602,11.24095,48.17523,14.64586,14.60612,5.105882,21.94435,-0.07244873,-0.9372711,-0.3887024,0,0,0,877.7557
02/27/2017 08:32:49.1169 AM,33.77702,-84.37238,22.36936,0.001511788,-0.045895,0.03687641,1209.5,0,25.98907,24.18883,0.860722,-1.289749,-7.198853,-5.757355,-0.2674149,-22.66248,32,5.076321,9,1.29654,118,0,0,0,0,-9.282415,-0.01470281,0.08214577,11.80146,51.24645,14.64586,14.60612,5.105882,22.05619,-0.0308075,-0.8824768,-0.4484558,0,0,0,877.9666
02/27/2017 08:32:50.1385 AM,33.77702,-84.37238,21.74799,0.01947139,-0.01962291,0.09515838,1096.5,0,57.18662,24.19098,0.3802986,1.751419,-9.149841,-2.940094,0.3658314,-28.09762,32,4.061057,9,0.572859,118,0,0,0,0,-10.29768,-0.01258413,0.07521512,5.214316,24.976,14.64228,14.34535,5.105882,21.29564,-0.05455017,-0.8602753,-0.5969238,0,0,0,878.5325
02/27/2017 08:32:51.1448 AM,33.7771,-84.37253,17.39839,-0.0714082,-0.05489676,0.01406383,1065.5,0,40.75023,24.19216,0.426952,0.8830109,-9.383118,-0.5024719,0.7623429,-29.93856,32,3.770981,9,0.642978,118,0,0,0,0,-10.58776,-0.1055309,0.04387953,5.853986,28.85575,17.17137,21.20702,5.105882,18.29814,0.06069946,-0.802002,-0.53508,0,0,0,879.7756
02/27/2017 08:32:52.1113 AM,33.77714,-84.37258,12.42742,-0.03821382,0.01275602,0.003602812,785.5,0,43.31475,24.19308,0.2869098,0.4120026,-5.486145,-1.253082,-0.7812202,-32.05716,32,3.770981,9,0.506709,118,0,0,0,0,-10.58776,-0.1881507,0.007237643,3.933852,26.30304,15.34243,14.77445,5.105882,13.64531,0.05810547,-0.8604431,-0.5409546,0,0,0,879.0938
02/27/2017 08:32:53.1188 AM,33.77716,-84.3726,7.456454,-0.02472459,-0.009260387,0.004022923,785.5,0,13.68237,24.19214,0.5449678,-0.1350708,-3.410583,-0.2277222,-3.346272,-31.31909,32,4.786245,9,0.85995,118,0,0,0,0,-9.572491,-0.1847403,-0.02771214,7.472115,26.30304,15.34243,14.01671,5.105882,7.985862,0.08088684,-0.8448486,-0.5222778,0,0,0,878.4857
02/27/2017 08:32:54.1198 AM,33.77718,-84.37262,3.728227,-0.0144387,-0.005311473,-0.01388468,750.5,0,13.68237,24.19214,0.5449678,-0.07099915,-2.374619,0.07215881,-4.01085,-31.44261,32,6.526698,9,0.85995,118,0,0,0,0,-7.832038,-0.1628263,-0.05072373,7.472115,52.291,14.28507,13.79836,5.105882,7.314782,0.08413696,-0.848465,-0.5068054,0,0,0,878.4468
02/27/2017 08:32:55.1199 AM,33.77718,-84.37263,1.242742,-0.01368602,0.02968946,-0.08014251,694.5,0,6.115675,24.19005,0.6096182,-0.1307678,-1.947937,0.1309814,-5.252304,-26.71441,32,7.541962,9,0.895671,118,0,0,0,0,-6.816774,-0.1291986,-0.07554829,8.358543,63.21097,13.82783,14.94235,5.105882,2.214567,0.1017303,-0.9088745,-0.3810272,0,0,0,878.0385
02/27/2017 08:32:56.1135 AM,33.77719,-84.37264,1.242742,-0.01071112,0.01341204,-0.02927085,714,0,1.850318,24.1859,0.6716372,-0.1932678,-2.007889,0.3749542,-5.95403,-24.02116,32,7.977076,9,0.955206,118,0,0,0,0,-6.38166,-0.05590868,-0.08455262,9.208892,70.08525,13.82783,14.77445,5.105882,1.901396,0.1113586,-0.9122925,-0.3869324,0,0,0,877.1554
02/27/2017 08:32:57.1288 AM,33.77721,-84.37266,1.242742,0.01033095,-0.0005803295,-0.03344555,707,0,1.850318,24.1859,0.6716372,0.29599,-2.131393,0.3762665,-6.201283,-22.41065,36,7.832038,9,0.955206,129,0,0,0,0,-6.526698,-0.05590868,-0.08455262,9.208892,68.41039,14.42795,14.77445,5.105882,2.572477,0.09727478,-0.9100342,-0.3520813,0,0,0,878.2874
02/27/2017 08:32:58.1209 AM,33.77722,-84.37267,2.485485,0.001736965,0.004209985,-0.01490498,707,0,3.597183,24.1817,0.6909531,0.1155243,-1.400162,0.3115692,-6.204321,-21.99762,36,7.832038,9,1.025325,129,0,0,0,0,-6.526698,0.01487841,-0.08385883,9.473734,68.41039,14.628,14.65613,5.105882,2.840909,0.1108093,-0.9210663,-0.359787,0,0,0,878.7155
02/27/2017 08:32:59.1191 AM,33.77722,-84.37267,3.106856,0.02494344,-0.008074584,0.01906974,836,0,3.597183,24.1817,0.6909531,0.2310638,-1.823212,1.532654,-5.645415,-23.21973,36,6.961812,9,1.025325,129,0,0,0,0,-7.396924,0.02749649,-0.07839465,9.473734,59.51809,14.628,14.19174,5.105882,0,0.07978821,-0.9034729,-0.4050293,0,0,0,878.9045
02/27/2017 08:33:00.1286 AM,33.77723,-84.37267,3.728227,0.003684023,-0.00273674,0.022924,783,0,6.166876,24.17863,0.6045569,-0.4364777,-1.397507,0.5545197,-4.944256,-24.68899,36,6.236623,9,0.910224,129,0,0,0,0,-8.122113,0.02761675,-0.07539492,8.289146,48.68647,14.63871,14.58468,5.105882,3.758053,0.08891296,-0.9013672,-0.4273682,0,0,0,878.5101
02/27/2017 08:33:01.1194 AM,33.77723,-84.37267,3.106856,-0.0001114491,-0.005660112,0.002591675,747,0,5.286305,24.17672,0.5877179,0.1729431,-1.764114,0.8618927,-4.822023,-24.78623,36,6.671736,9,0.885087,129,0,0,0,0,-7.687,0.002540363,-0.07536975,8.058265,58.2805,14.64228,14.78517,5.105882,3.221188,0.08708191,-0.8954773,-0.4146729,0,0,0,878.3137
02/27/2017 08:33:02.1218 AM,33.77723,-84.37268,3.106856,0.03515609,0.02681522,-0.01766566,743,0,5.286305,24.17672,0.5877179,-0.4352112,-3.352646,-1.569229,-4.080361,-23.09264,36,6.526698,9,0.885087,129,0,0,0,0,-7.832038,0.002540363,-0.07536975,8.058265,56.96221,14.63871,14.79589,5.105882,2.773801,0.03823853,-0.9391327,-0.3789063,0,0,0,877.3655
02/27/2017 08:33:03.1185 AM,33.77727,-84.37271,3.106856,0.0009969578,0.06441221,-0.03644188,1138,0,3.859908,24.17367,0.8049042,4.806961,-10.50027,-2.929138,-4.894585,-18.94955,36,7.541962,9,1.211868,129,0,0,0,0,-6.816774,-0.0124583,-0.0567804,11.03613,50.9341,14.63871,14.93163,5.105882,4.227809,0.06977844,-1.001785,-0.3091583,0,0,0,876.9105
02/27/2017 08:33:04.1091 AM,33.77728,-84.37271,4.97097,0.0385777,0.03280697,0.02209468,1696,0,3.104874,24.16805,1.601021,-0.8313904,-14.44576,-5.17363,-5.381813,-17.07417,36,9.137378,9,2.410506,129,0,0,0,0,-5.221359,0.04338336,-0.02906295,21.95178,67.9795,14.64228,14.26319,5.105882,6.867394,0.01638794,-0.9860382,-0.3148193,0,0,0,875.9661
