# FuelCalculationMethod = MassAirFlow
Time, Latitude (deg), Longitude (deg), Vehicle speed (MPH), Accel X (g), Accel Y (g), Accel Z (g), Engine RPM (RPM), Actual engine - percent torque (%), Instant fuel economy (MPG), Total fuel economy (MPG), Fuel rate (gal/hr), Rotation Rate X (deg/s), Rotation Rate Y (deg/s), Rotation Rate Z (deg/s), Roll (deg), Pitch (deg), Engine coolant temperature (C), Intake manifold absolute pressure (psi), Intake air temperature (C), Mass air flow rate (lb/min), Time since engine start (sec), Engine oil temperature (C), Engine fuel rate (gal/hr), Driver's demand engine - percent torque (%), Engine reference torque (lb•ft), Acceleration (g), Acceleration (Avg) (g), Engine Power (hp), Engine Torque (lb•ft), A/F Commanded, A/F Actual, Fuel Remaining (gal), GPS Speed (MPH), Accel (Grav) X (g), Accel (Grav) Y (g), Accel (Grav) Z (g), Distance traveled while MIL is activated (miles), Total engine run time (sec), Total idle run time (sec), Altitude (ft), Boost (psi)
03/09/2017 08:43:32.1160 AM,33.77714,-84.37059,0,-0.006635709,0.06477965,0.01756868,715,0,0,27.01977,0,0.177002,-1.400558,0.2507172,-2.280531,-17.82433,33,8.847302,0,1.186731,0,0,0,0,0,0,0,0,0,14.63157,0,0,0,0.04498291,-0.9630737,-0.3055878,0,0,0,905.6965,-5.656472
03/09/2017 08:43:34.0994 AM,33.77716,-84.37061,0,-0.01608995,0.009006014,-0.01513109,715,0,0,27.01977,0,-0.540863,4.208633,1.563705,-4.703923,-15.35663,33,8.847302,11,1.186731,84,0,0,0,0,0,0,0,0,14.63157,14.77445,6.698039,1.454009,0.0884552,-0.9580536,-0.2567444,0,0,0,905.192,-5.656472
03/09/2017 08:43:35.0795 AM,33.77715,-84.37062,1.242742,-0.004242638,0.005960914,0.01720577,715,0,1.680832,27.01756,0.7393613,-0.4093628,7.377457,2.402023,-5.206861,-15.21715,33,8.847302,11,1.112643,84,0,0,0,0,0.005634891,0.001126978,10.13747,0,14.63157,14.77445,6.698039,0.7605584,0.08840942,-0.9606781,-0.2866669,0,0,0,905.1725,-5.656472
03/09/2017 08:43:36.0874 AM,33.77714,-84.37064,1.242742,-0.003293232,0.01151642,-0.04414971,786,0,1.680832,27.01756,0.7393613,-0.1838837,1.955048,1.8797,-4.496351,-12.73056,33,8.122113,11,1.112643,87,0,0,0,0,0.005634891,0.001126978,10.13747,67.73933,14.63157,13.95598,6.698039,3.556729,0.08937073,-0.9757538,-0.1955719,0,0,0,904.9562,-6.236623
03/09/2017 08:43:37.0958 AM,33.77712,-84.37066,4.97097,0.07140703,0.009438263,-0.03121581,786,0,3.878134,27.01554,1.281794,-0.4873505,-15.77415,-0.9615936,-1.180203,-10.20994,33,8.122113,11,1.928934,87,0,0,0,0,0.04547546,0.009095092,17.57482,67.73933,14.63157,13.95598,6.698039,4.048854,-0.03779602,-0.9883881,-0.1544189,0,0,0,906.2589,-6.236623
03/09/2017 08:43:38.0896 AM,33.7771,-84.37067,8.077826,0.09580275,-0.008633364,0.01092319,1494,0,3.878134,27.01554,1.281794,-0.3091736,-19.80156,-3.440872,2.959048,-9.213679,33,7.251887,11,1.928934,87,0,0,0,0,0.1034746,0.0218219,17.57482,61.78377,14.63157,13.92383,6.698039,4.071224,-0.1285553,-0.9727478,-0.1780396,0,0,0,904.4016,-7.106849
03/09/2017 08:43:39.1104 AM,33.77708,-84.37068,8.077826,-0.06855507,-0.01775923,-0.02467913,1845.5,0,5.226547,27.01398,1.545538,0.5344086,-5.36441,-1.131592,0.408345,-9.203055,33,7.541962,11,2.325834,87,0,0,0,0,0.1034746,0.0218219,21.19104,60.30763,14.64228,15.13881,6.698039,3.690945,0.05784607,-0.9642944,-0.1444244,0,0,0,901.3918,-6.816774
03/09/2017 08:43:40.1122 AM,33.77707,-84.3707,11.80605,0.03036126,-0.01021395,0.06667398,1720,0,7.065639,27.01262,1.670911,-0.8726501,-5.054825,-1.074203,0.851291,-9.102683,33,8.122113,11,2.516346,87,0,0,0,0,0.1232399,0.03374307,22.91005,69.95706,14.63871,15.13881,6.698039,3.042233,-0.04460144,-0.9690857,-0.2332916,0,0,0,903.0235,-6.236623
03/09/2017 08:43:41.1049 AM,33.77706,-84.37074,14.91291,0.002458224,0.01318466,-0.007570587,1687,0,8.393294,27.01147,1.776765,0.6560516,-5.303207,-0.8879242,1.464604,-9.113772,33,8.122113,11,2.675106,87,0,0,0,0,0.1149751,0.04481692,24.36142,75.84406,14.63871,14.64541,6.698039,9.193809,-0.02981567,-1.004089,-0.1602631,0,0,0,896.2103,-6.236623
03/09/2017 08:43:42.1185 AM,33.77701,-84.37096,18.01976,0.01566664,0.003154501,0.07913087,1687,0,19.18327,27.01109,0.9393479,-0.562561,-3.409821,-0.4721375,2.208637,-11.7254,33,7.977076,10,1.414287,87,0,0,0,0,0.1101686,0.05577678,12.8795,75.84406,14.63871,14.40607,6.698039,12.86238,-0.06463623,-0.9824829,-0.2863922,0,0,0,894.2,-6.38166
