# FuelCalculationMethod = MassAirFlow
Time, Latitude (deg), Longitude (deg), Vehicle speed (MPH), Accel X (g), Accel Y (g), Accel Z (g), Engine RPM (RPM), Actual engine - percent torque (%), Instant fuel economy (MPG), Total fuel economy (MPG), Fuel rate (gal/hr), Rotation Rate X (deg/s), Rotation Rate Y (deg/s), Rotation Rate Z (deg/s), Roll (deg), Pitch (deg), Engine coolant temperature (C), Intake manifold absolute pressure (psi), Intake air temperature (C), Mass air flow rate (lb/min), Time since engine start (sec), Engine oil temperature (C), Engine fuel rate (gal/hr), Driver's demand engine - percent torque (%), Engine reference torque (lb•ft), Boost (psi), Acceleration (g), Acceleration (Avg) (g), Engine Power (hp), Engine Torque (lb•ft), A/F Commanded, A/F Actual, Fuel Remaining (gal), GPS Speed (MPH), Accel (Grav) X (g), Accel (Grav) Y (g), Accel (Grav) Z (g), Distance traveled while MIL is activated (miles), Total engine run time (sec), Total idle run time (sec), Altitude (ft)
02/24/2017 08:22:22.1172 AM,33.77713,-84.37121,1.864114,-0.0004618159,0.007706551,0.009485783,667,0,2.798005,20.20889,0.6662296,0.1336212,6.098694,3.079315,-4.035804,-23.19438,42,8.847302,15,1.002834,133,0,0,0,0,-5.366396,0.03620492,0.007240985,9.134748,71.92913,14.63157,14.73471,7.192157,1.968504,0.06726074,-0.9181366,-0.4059143,0,0,0,893.7454
02/24/2017 08:22:23.1243 AM,33.77713,-84.37122,3.728227,-0.01028461,0.02370511,-0.08686071,667,0,3.636998,20.19924,1.025084,0.9793396,3.72197,3.518509,-4.235047,-20.54641,42,8.412189,15,1.542618,133,0,0,0,0,-5.801509,0.07028224,0.01405645,14.05504,71.92913,14.63157,14.64541,7.192157,3.310666,0.08673096,-0.9479828,-0.2752533,0,0,0,891.9845
02/24/2017 08:22:24.0763 AM,33.77713,-84.37125,3.728227,0.02319189,-0.001600255,-0.02917391,1347,0,3.636998,20.19924,1.025084,-0.4368134,-1.091919,0.9187317,-3.460387,-16.40249,42,8.99234,15,1.542618,133,0,0,0,0,-5.221359,0.07028224,0.01405645,14.05504,54.80225,14.63514,14.64541,7.192157,6.039728,0.04364014,-0.949173,-0.2696838,0,0,0,890.7928
02/24/2017 08:22:25.1081 AM,33.77713,-84.3713,9.320568,-0.006992853,0.01919397,-0.0004470236,2141,0,3.900124,20.1719,2.389813,-0.3760223,-2.496445,-0.2933807,-2.516883,-17.95222,42,10.44272,15,3.597237,133,0,0,0,0,-3.770981,0.1174648,0.03073394,32.76699,80.38111,14.63871,14.77445,7.192157,9.439871,0.05986023,-0.9665222,-0.3042908,0,0,0,890.806
02/24/2017 08:22:26.0894 AM,33.77713,-84.37139,11.80605,0.005659408,0.008981227,0.04631465,1999,0,5.114414,20.15436,2.308388,-0.3677826,-1.219788,-1.030792,-2.595398,-16.83001,42,10.44272,15,3.475521,133,0,0,0,0,-3.770981,0.1325734,0.04057112,31.65056,83.15775,14.63514,14.2489,7.192157,12.50447,0.0405426,-0.9624176,-0.3380432,0,0,0,890.4189
02/24/2017 08:22:27.1086 AM,33.77712,-84.37148,16.15565,0.01248513,0.03438634,-0.01506208,1999,0,7.697247,20.13992,2.098887,-0.7401428,-1.764572,-0.3583527,-2.641834,-19.42306,42,10.44272,15,3.159324,133,0,0,0,0,-3.770981,0.1347769,0.05768932,28.77807,83.15775,14.63514,14.93163,7.192157,15.7704,0.03405762,-0.9723663,-0.3135834,0,0,0,887.5304
02/24/2017 08:22:28.0844 AM,33.77702,-84.37156,19.26251,-0.00136617,0.0179363,-0.008159536,2208,0,9.646055,20.12832,1.996931,1.828537,-2.19928,-0.1696472,-2.778126,-19.09358,42,8.267151,15,3.005856,133,0,0,0,0,-5.946547,0.1431405,0.06919921,27.38014,68.45367,14.63514,14.82804,7.192157,18.79026,0.04908752,-0.9603271,-0.3240051,0,0,0,886.6461
02/24/2017 08:22:29.0877 AM,33.77702,-84.37167,19.26251,-0.07873568,-0.02734651,0.0247035,1884,0,9.646055,20.12832,1.996931,-1.473969,-1.823639,-0.6029358,-3.663081,-20.07742,42,7.977076,15,3.005856,133,0,0,0,0,-6.236623,0.1431405,0.06919921,27.38014,76.32888,14.64228,14.81732,7.192157,20.62455,0.1217957,-0.903183,-0.3783875,0,0,0,885.8209
02/24/2017 08:22:30.0881 AM,33.77702,-84.37177,22.36936,-0.03215097,-0.02143164,0.02167331,1971.5,0,18.59976,20.12779,1.202669,-0.3196716,-2.737503,0.6220245,-4.949368,-21.62201,45,5.656472,15,1.811187,133,0,0,0,0,-8.557226,0.1134355,0.08037642,16.48993,43.92949,14.63871,14.81732,7.192157,21.40748,0.09312439,-0.8954926,-0.399704,0,0,0,885.4334
02/24/2017 08:22:31.1339 AM,33.77702,-84.3719,23.6121,-0.02832772,-0.009985553,0.01299355,1971.5,0,18.59976,20.12779,1.202669,-0.1327209,-2.43512,0.1333008,-4.473169,-23.14589,45,5.656472,15,1.811187,146,0,0,0,0,-8.557226,0.07060729,0.08332067,16.48993,43.92949,14.63871,14.58468,7.192157,23.33125,0.09765625,-0.9003143,-0.4148712,0,0,0,883.3564
