# FuelCalculationMethod = MassAirFlow
Time, Latitude (deg), Longitude (deg), Vehicle speed (MPH), Accel X (g), Accel Y (g), Accel Z (g), Engine RPM (RPM), Actual engine - percent torque (%), Instant fuel economy (MPG), Total fuel economy (MPG), Fuel rate (gal/hr), Rotation Rate X (deg/s), Rotation Rate Y (deg/s), Rotation Rate Z (deg/s), Roll (deg), Pitch (deg), Engine coolant temperature (C), Intake manifold absolute pressure (psi), Intake air temperature (C), Mass air flow rate (lb/min), Time since engine start (sec), Engine oil temperature (C), Engine fuel rate (gal/hr), Driver's demand engine - percent torque (%), Engine reference torque (lb•ft), Acceleration (g), Acceleration (Avg) (g), Engine Power (hp), Engine Torque (lb•ft), A/F Commanded, A/F Actual, Fuel Remaining (gal), GPS Speed (MPH), Accel (Grav) X (g), Accel (Grav) Y (g), Accel (Grav) Z (g), Distance traveled while MIL is activated (miles), Total engine run time (sec), Total idle run time (sec), Altitude (ft), Boost (psi)
03/27/2017 08:26:57.0500 AM,33.7776,-84.37091,0,-0.04389796,0.7353321,0.3297811,0,0,0,0,0,0.05430603,-1.399948,0.3114777,-3.481828,-24.12149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05458069,-0.9033508,-0.4053955,0,0,0,902.3951,0
03/27/2017 08:26:58.0917 AM,33.77756,-84.3709,0,-0.01713024,0.25134,0.1167587,0,0,0,0,0,-0.006652832,-1.399918,0.2504425,-3.267426,-24.2705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05752563,-0.9055176,-0.4119415,0,0,0,902.4003,0
03/27/2017 08:27:06.0978 AM,33.77753,-84.37085,0,-0.005372289,0.004574727,-0.008732758,871,0,0,26.28586,0.8046243,0.2377167,-1.461487,0.3120422,-3.094746,-24.74182,29,13.63355,18,1.207899,40,0,0,0,0,0,0,11.03229,66.52451,14.59585,14.45251,3.239216,1.856657,0.05929565,-0.9079742,-0.4081879,0,0,0,905.5774,-0.580151
03/27/2017 08:27:07.0998 AM,33.77753,-84.37086,0,-0.002625343,0.001233369,0.005933686,849,0,0,26.28552,0.8028616,0.4243774,-1.036758,0.005569458,-2.886648,-25.71457,29,13.63355,18,1.205253,40,0,0,0,0,0,0,11.00813,68.09885,14.59585,14.45251,3.239216,0.6263422,0.05184937,-0.8991241,-0.4348907,0,0,0,905.6635,-0.580151
03/27/2017 08:27:08.0756 AM,33.77754,-84.37086,0.6213712,-0.00431023,-0.006080293,0.01525311,849,0,0,26.28552,0.8028616,0.4851532,-1.34201,-0.1757202,-3.162593,-25.36471,29,13.63355,18,1.205253,40,0,0,0,0,0.008365634,0.001673127,11.00813,68.09885,14.59585,14.57754,3.239216,0.5144954,0.05674744,-0.8905029,-0.4428101,0,0,0,906.8007,-0.580151
03/27/2017 08:27:09.0759 AM,33.77753,-84.37085,0.6213712,0.001315003,0.005690716,-0.01417154,831.5,0,0.7834049,26.28497,0.7931674,0.1756897,-1.338562,0.6160889,-4.253868,-21.58657,29,13.63355,18,1.1907,40,0,0,0,0,0.008365634,0.001673127,10.87521,68.6925,14.59585,14.57754,3.239216,1.923765,0.06555176,-0.9230957,-0.3717194,0,0,0,908.3745,-0.580151
03/27/2017 08:27:10.0960 AM,33.77755,-84.37086,0,0.002724239,-0.000458859,0.01582321,831.5,0,0,26.2845,0.7288327,0.05479431,-1.278152,0.3108978,-3.657885,-23.41854,29,13.63355,18,1.094121,40,0,0,0,0,-0.0008517011,-0.0001703402,9.993106,68.6925,14.59585,14.73471,3.239216,2.348783,0.06085205,-0.9119263,-0.4118195,0,0,0,908.9131,-0.580151
03/27/2017 08:27:11.0797 AM,33.77755,-84.37086,0,-0.01167422,0.005912364,-0.01120543,813.5,0,0,26.2845,0.7288327,-0.06814575,-1.33844,0.3719482,-4.143679,-22.99563,29,13.48851,18,1.094121,40,0,0,0,0,-0.0008517011,-0.0001703402,9.993106,64.51743,14.59585,14.62755,3.239216,0.8052971,0.08045959,-0.9223328,-0.3800659,0,0,0,909.2201,-0.7251887
03/27/2017 08:27:13.0678 AM,33.77755,-84.37084,0.6213712,-0.002191962,-0.005107602,0.006163651,792.5,0,0,26.28395,0.6750736,0.1764526,-1.27803,0.4939117,-3.843644,-25.1816,29,13.48851,18,1.013418,40,0,0,0,0,0.009127916,0.001655243,9.256009,61.34209,14.59585,14.57754,3.239216,0.492126,0.06578064,-0.8963928,-0.4236755,0,0,0,909.0499,-0.7251887
03/27/2017 08:27:14.0839 AM,33.77753,-84.37083,0.6213712,-0.004979197,0.01077163,0.008352965,770.5,0,0.9132959,26.28345,0.6803613,-0.8668518,-1.272568,1.101791,-3.599736,-25.97699,29,13.48851,18,1.021356,40,0,0,0,0,0.009127916,0.001655243,9.32851,63.58779,14.59227,14.57754,3.239216,2.975125,0.06884766,-0.9073639,-0.4345856,0,0,0,909.0786,-0.7251887
