# FuelCalculationMethod = MassAirFlow
Time, Latitude (deg), Longitude (deg), Vehicle speed (MPH), Accel X (g), Accel Y (g), Accel Z (g), Engine RPM (RPM), Actual engine - percent torque (%), Instant fuel economy (MPG), Total fuel economy (MPG), Fuel rate (gal/hr), Rotation Rate X (deg/s), Rotation Rate Y (deg/s), Rotation Rate Z (deg/s), Roll (deg), Pitch (deg), Engine coolant temperature (C), Intake manifold absolute pressure (psi), Intake air temperature (C), Mass air flow rate (lb/min), Time since engine start (sec), Engine oil temperature (C), Engine fuel rate (gal/hr), Driver's demand engine - percent torque (%), Engine reference torque (lb•ft), Boost (psi), Acceleration (g), Acceleration (Avg) (g), Engine Power (hp), Engine Torque (lb•ft), A/F Commanded, A/F Actual, Fuel Remaining (gal), GPS Speed (MPH), Accel (Grav) X (g), Accel (Grav) Y (g), Accel (Grav) Z (g), Distance traveled while MIL is activated (miles), Total engine run time (sec), Total idle run time (sec), Altitude (ft)
02/28/2017 08:38:00.1110 AM,33.77934,-84.37007,1.242742,-0.00249227,0.006988356,-0.007062413,740.5,0,1.763429,25.3581,0.7047306,0.2996521,-1.217926,0.3719177,-3.03292,-26.59513,48,8.267151,15,1.061046,44,0,0,0,0,-6.091585,0.02007938,0.004015875,9.662639,70.48203,14.63514,14.87447,4.227451,1.096099,0.05665588,-0.8960724,-0.4420319,0,0,0,881.3832
02/28/2017 08:38:01.0641 AM,33.77933,-84.37006,1.242742,-0.005705221,0.0104209,-0.01968438,715.5,0,1.763429,25.3581,0.7047306,0.2950287,-1.397873,1.286942,-3.105756,-26.0301,48,8.122113,15,1.061046,44,0,0,0,0,-6.236623,0.02007938,0.004015875,9.662639,70.92841,14.63514,14.87447,4.227451,2.013243,0.06056213,-0.9031677,-0.4221344,0,0,0,882.815
02/28/2017 08:38:02.1047 AM,33.77933,-84.37005,1.864114,0.003711969,-0.004387097,-0.002520586,709,0,3.029839,25.35557,0.6152516,-0.3130493,-1.215424,0.4928894,-3.498781,-23.97199,48,7.687,15,0.9261,44,0,0,0,0,-6.671736,0.02823454,0.005646909,8.435783,62.49039,14.63871,14.86376,4.227451,2.035612,0.05615234,-0.9001007,-0.4101105,0,0,0,882.6204
02/28/2017 08:38:03.1222 AM,33.77933,-84.37004,1.864114,-0.01092552,0.02714564,-0.07267027,709,0,3.029839,25.35557,0.6152516,0.358429,-1.827118,0.3749084,-2.963074,-24.81314,48,7.687,15,0.9261,44,0,0,0,0,-6.671736,0.008155167,0.005646909,8.435783,62.49039,14.63871,14.71685,4.227451,1.946135,0.06578064,-0.9318848,-0.3433685,0,0,0,883.7764
02/28/2017 08:38:04.0954 AM,33.77933,-84.37003,1.864114,-0.02417051,0.00305472,-0.01503101,742.5,0,3.092427,25.35335,0.6027995,-0.1981812,-6.218262,-2.408447,-2.658293,-24.61633,48,7.977076,15,0.907578,44,0,0,0,0,-6.38166,0.008155167,0.005646909,8.26505,58.46327,14.63871,14.71685,4.227451,1.76718,0.07363892,-0.9077606,-0.4000702,0,0,0,884.0167
02/28/2017 08:38:05.1142 AM,33.77933,-84.37001,1.242742,0.005842087,-0.01774975,0.02915234,758,0,1.576667,25.35057,0.7882086,0.1041412,-6.705231,-1.979065,-3.577226,-24.63909,48,7.977076,15,1.186731,44,0,0,0,0,-6.38166,-0.009720563,0.003702796,10.80722,74.88222,14.63871,14.8066,4.227451,1.498747,0.05461121,-0.8878021,-0.4413757,0,0,0,884.6603
02/28/2017 08:38:06.0891 AM,33.77933,-84.37001,1.242742,0.001541239,-0.01039237,0.00507674,758,0,1.675676,25.34836,0.7416366,0.3451691,-8.962967,-3.186844,-2.776417,-26.32402,48,8.267151,15,1.116612,44,0,0,0,0,-6.091585,-0.009720563,0.003702796,10.16866,74.88222,14.63514,14.62755,4.227451,0.492126,0.05027771,-0.8860016,-0.4390106,0,0,0,884.9544
02/28/2017 08:38:08.0991 AM,33.77932,-84.36999,1.242742,-0.01766372,-0.0001029693,-0.004912647,753,0,1.687261,25.34652,0.7365441,-0.08093262,-7.25322,-2.159561,-3.317172,-25.70748,48,8.122113,15,1.108674,59,0,0,0,0,-6.236623,2.829315E-18,0.003702796,10.09884,70.43856,14.63514,14.70971,4.227451,1.297423,0.07911682,-0.8971405,-0.4265594,0,0,0,883.3198
02/28/2017 08:38:09.1059 AM,33.77932,-84.36998,0.6213712,0.02682338,0.004011192,0.003442867,776,0,0.8406213,25.34279,0.7391809,0.3591766,-1.705505,0.313385,-4.338134,-23.54506,48,8.122113,15,1.112643,59,0,0,0,0,-6.236623,-0.007887846,0.002125227,10.13499,68.59551,14.63871,14.70971,4.227451,1.073729,0.04278564,-0.9111328,-0.4141541,0,0,0,882.3917
02/28/2017 08:38:11.0996 AM,33.77932,-84.36997,0,0.01718959,0.01309952,-0.02415878,750,0,0,25.33985,0.7732704,0.3480377,-7.987869,-2.947708,-1.829396,-21.36895,48,8.122113,15,1.16424,59,0,0,0,0,-6.236623,-0.01691205,0.0003203856,10.6024,74.24665,14.63871,14.65613,4.227451,0.738189,0.02101135,-0.9358063,-0.3527679,0,0,0,883.7157
