# FuelCalculationMethod = MassAirFlow
Time, Latitude (deg), Longitude (deg), Vehicle speed (MPH), Accel X (g), Accel Y (g), Accel Z (g), Engine RPM (RPM), Actual engine - percent torque (%), Instant fuel economy (MPG), Total fuel economy (MPG), Fuel rate (gal/hr), Rotation Rate X (deg/s), Rotation Rate Y (deg/s), Rotation Rate Z (deg/s), Roll (deg), Pitch (deg), Engine coolant temperature (C), Intake manifold absolute pressure (psi), Intake air temperature (C), Mass air flow rate (lb/min), Time since engine start (sec), Engine oil temperature (C), Engine fuel rate (gal/hr), Driver's demand engine - percent torque (%), Engine reference torque (lb•ft), Acceleration (g), Acceleration (Avg) (g), Engine Power (hp), Engine Torque (lb•ft), A/F Commanded, A/F Actual, Fuel Remaining (gal), GPS Speed (MPH), Accel (Grav) X (g), Accel (Grav) Y (g), Accel (Grav) Z (g), Distance traveled while MIL is activated (miles), Total engine run time (sec), Total idle run time (sec), Altitude (ft), Boost (psi)
03/10/2017 05:11:39.0983 PM,33.91045,-84.52689,0,0.03689529,0.4077047,0.0151275,0,0,0,0,0,19.17725,-1.543793,-5.083649,12.12928,-13.31091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.096099,-0.154892,-0.8811798,-0.1609192,0,0,0,1047.902,0
03/10/2017 05:11:40.1100 PM,33.91047,-84.52689,0,0.03584006,0.2208985,0.02600045,0,0,0,0,0,10.23074,-4.272736,8.689667,11.35457,-9.406913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4697566,-0.19133,-1.010239,-0.1848755,0,0,0,1046.681,0
03/10/2017 05:11:41.1067 PM,33.91047,-84.52688,0,0.06002291,0.0339875,-0.08470379,0,0,0,27.05531,0,5.638824,-5.215378,-6.426956,14.12898,-2.064667,0,0,0,0.969759,0,0,0,0,0,0,0,0,0,14.63871,0,0,0.3355404,-0.2563019,-0.9394836,-0.04415894,0,0,0,1046.953,0
03/10/2017 05:11:48.1173 PM,33.91052,-84.52687,0,0.03292167,-0.01125035,-0.006094484,790,0,0,27.05187,0.6026524,-0.8551331,0.6123352,0.1177063,16.16405,-2.897409,45,6.816774,26,0.907578,42,0,0,0,0,0,0,8.263034,54.93467,14.63871,14.52753,5.105882,0,-0.305954,-0.9472198,-0.040802,0,0,0,1038.434,-7.396924
03/10/2017 05:11:49.0915 PM,33.91052,-84.52688,0,-0.002542952,-0.002260433,0.01348687,790,0,0,27.05122,0.6027995,-1.101181,0.1254578,-0.06317139,16.0312,-3.803871,45,6.816774,26,0.907578,42,0,0,0,0,0,0,8.26505,54.93467,14.63514,14.54182,5.105882,0.3802792,-0.2759247,-0.9564514,-0.0629425,0,0,0,1038.366,-7.396924
03/10/2017 05:11:55.0892 PM,33.91053,-84.5269,0,0.0002019225,0.002741666,0.004788793,763,0,0,27.04859,0.5878613,-1.846527,-2.612564,-0.1121674,19.11558,-2.471756,45,6.816774,26,0.885087,42,0,0,0,0,0,0,8.060231,55.48263,14.63871,14.59183,5.105882,2.259306,-0.3276978,-0.9465637,-0.04376221,0,0,0,1038.526,-7.396924
03/10/2017 05:11:56.0988 PM,33.91052,-84.5269,0,0.003211856,-0.01276257,0.00571889,762.5,0,0,27.048,0.5852251,0.1851654,-0.8566895,-1.153595,18.93194,-1.96125,45,6.816774,26,0.881118,42,0,0,0,0,0,0,8.024087,55.27005,14.63871,14.59183,5.105882,1.096099,-0.3294373,-0.9315796,-0.0405426,0,0,0,1041.932,-7.396924
03/10/2017 05:11:58.0749 PM,33.91051,-84.5269,0,-0.01282962,0.003282685,0.01441671,757,0,0,27.0474,0.5878613,-3.67308,-1.086456,-1.036316,18.19093,-3.697918,45,6.961812,27,0.885087,42,0,0,0,0,0,0,8.060231,55.92239,14.64586,14.57754,5.105882,0.3355404,-0.3058929,-0.9501038,-0.06878662,0,0,0,1041.339,-7.251887
03/10/2017 05:12:08.1016 PM,33.91051,-84.52693,0,-0.173494,0.1041214,0.2039904,760,0,0,27.04267,0.5727834,0.9497681,-109.8134,119.4892,-12.10866,-32.44043,45,6.816774,27,0.862596,58,0,0,0,0,0,0,7.853496,54.27296,14.63871,14.63827,5.105882,0.4697566,0.08714294,-0.9529114,-0.58815,0,0,0,1043.865,-7.396924
03/10/2017 05:12:09.1048 PM,33.91051,-84.52692,0,-0.5665016,0.4574409,0.7313126,759,0,0,27.04204,0.5729231,-52.31133,26.27437,-11.4774,0.5286873,-32.13874,45,6.816774,27,0.862596,58,0,0,0,0,0,0,7.855412,54.35773,14.63514,14.57754,5.105882,1.498747,0.5852509,-1.336639,-1.190552,0,0,0,1045.511,-7.396924
03/10/2017 05:12:21.0836 PM,33.91052,-84.52696,0,0.01137461,-0.01298061,0.02019907,691.5,0,0,27.0357,0.6317971,-1.304596,-1.753128,2.809891,1.830779,-25.11084,48,8.122113,26,0.951237,75,0,0,0,0,0,0,8.662641,62.50057,14.63157,14.60612,5.105882,1.05136,-0.04328918,-0.8924866,-0.4423828,0,0,0,1036.343,-6.091585
03/10/2017 05:12:22.0581 PM,33.91053,-84.52696,0,0.02017809,-0.03267335,0.03686258,707.5,0,0,27.0357,0.6317971,-2.52771,-1.566528,2.685303,1.723054,-24.785,48,8.412189,26,0.951237,75,0,0,0,0,0,0,8.662641,64.30695,14.63157,14.60612,5.105882,0.8500358,-0.05072021,-0.8748779,-0.4525909,0,0,0,1037.23,-5.801509
03/10/2017 05:12:23.1126 PM,33.91053,-84.52697,0.6213712,-0.02064997,0.0199901,-0.02342289,707.5,0,0,27.0357,0.6317971,-3.201065,-1.747421,2.502335,1.695949,-24.53741,48,8.412189,26,0.951237,75,0,0,0,0,0.004542405,0.000908481,8.662641,64.30695,14.63157,14.93163,5.105882,0.9395132,-0.007476807,-0.9312134,-0.3839417,0,0,0,1033.18,-5.801509
03/10/2017 05:12:24.0953 PM,33.91053,-84.52697,0.6213712,-0.008699831,0.01105171,0.01103467,710.5,0,0.9461713,27.03425,0.6567217,1.597626,-0.9868774,-2.308838,1.783493,-24.71364,48,8.412189,26,0.988281,75,0,0,0,0,0.004542405,0.000908481,9.004384,66.56164,14.63514,14.78517,5.105882,1.096099,-0.02061462,-0.9209595,-0.4230347,0,0,0,1035.128,-5.801509
03/10/2017 05:12:24.7096 PM,33.91053,-84.52697,0.6213712,-0.00877043,0.01817582,-0.009723173,710.5,0,0.9426167,27.0336,0.6591982,-0.9985199,-1.693115,2.871002,1.869962,-25.43297,48,8.412189,26,0.99225,75,0,0,0,0,0.004542405,0.000908481,9.03834,66.56164,14.63514,14.78517,5.105882,1.096099,-0.02331543,-0.9219513,-0.4142151,0,0,0,1035.128,-5.801509
03/10/2017 05:12:25.1011 PM,33.91054,-84.52698,0.6213712,-0.0009665932,0.01114723,-0.01214448,710.5,0,0.9426167,27.0336,0.6591982,-2.521133,-1.937592,0.7977905,1.889598,-25.62018,48,8.412189,26,0.99225,75,0,0,0,0,0.004542405,0.000908481,9.03834,66.56164,14.63871,14.78517,5.105882,2.10272,-0.03227234,-0.9131622,-0.4168243,0,0,0,1036.595,-5.801509
03/10/2017 05:12:26.1006 PM,33.91054,-84.52699,0.6213712,-0.02087636,0.03075493,-0.02663467,724,0,0.9426167,27.0336,0.6591982,0.5593262,-1.290298,-3.162155,1.75774,-25.50649,48,8.412189,27,0.99225,75,0,0,0,0,0.004542405,0.000908481,9.03834,65.56683,14.63871,14.79589,5.105882,2.10272,-0.01036072,-0.9344177,-0.3986969,0,0,0,1037.137,-5.801509
03/10/2017 05:12:27.1054 PM,33.91055,-84.527,1.242742,0.0204504,-0.03884891,0.01031593,724,0,1.921563,27.03251,0.6467353,0.6670837,-6.898819,-4.963608,1.825237,-24.84291,48,8.412189,27,0.973728,75,0,0,0,0,0.006716866,0.002251854,8.867459,65.56683,14.63871,14.79589,5.105882,1.901396,-0.05656433,-0.866806,-0.4294281,0,0,0,1039.518,-5.801509
03/10/2017 05:12:28.1247 PM,33.91055,-84.52701,1.242742,0.01058928,-0.01793171,0.007098873,725.5,0,1.921563,27.03251,0.6467353,-4.854691,-10.22989,-5.26062,1.214954,-24.45898,48,8.557226,27,0.973728,75,0,0,0,0,0.006716866,0.002251854,8.867459,64.19421,14.63871,14.83875,5.105882,1.498747,-0.0365448,-0.8912659,-0.4192047,0,0,0,1039.255,-5.656472
03/10/2017 05:12:29.0973 PM,33.91055,-84.52702,1.864114,-0.008833477,-0.02310576,0.01908258,737.5,0,2.70933,27.03171,0.688035,2.123367,-11.10864,-5.85556,0.6777593,-25.00282,48,8.557226,27,1.035909,75,0,0,0,0,0.0146441,0.003837301,9.433723,67.18235,14.63514,14.83875,5.105882,1.498747,-0.005874634,-0.8827667,-0.4364929,0,0,0,1039.389,-5.656472
03/10/2017 05:12:31.1263 PM,33.91055,-84.527,1.864114,-0.01739592,0.04655361,-0.06295905,732.5,0,2.521864,27.0303,0.7391809,0.4099426,-3.469376,1.114151,-1.578559,-21.51825,48,8.557226,27,1.112643,75,0,0,0,0,-1.414657E-18,0.003837301,10.13499,69.81764,14.63514,14.71685,5.105882,0.7605584,0.04013062,-0.9699707,-0.3143005,0,0,0,1037.57,-5.656472
03/10/2017 05:12:32.0774 PM,33.91055,-84.527,1.864114,0.02939733,0.009309385,-0.04359476,774,0,2.521864,27.0303,0.7391809,-0.1343842,-1.766434,1.229019,0.0410653,-21.68689,48,8.557226,27,1.112643,75,0,0,0,0,-1.414657E-18,0.003837301,10.13499,68.77277,14.63514,14.71685,5.105882,0.7605584,-0.03175354,-0.9281769,-0.3341064,0,0,0,1038.494,-5.656472
03/10/2017 05:12:33.1049 PM,33.91055,-84.52699,0,0.06351065,-0.005631686,-0.004033803,774,0,0,27.02913,0.7831274,-0.08818054,-11.46194,-4.39447,3.70627,-20.05329,48,8.557226,27,1.178793,75,0,0,0,0,-0.02537053,-0.001236804,10.73755,68.77277,14.63514,14.75659,5.105882,1.028991,-0.1123962,-0.9317932,-0.3488464,0,0,0,1035.164,-5.656472
03/10/2017 05:12:34.1136 PM,33.91055,-84.52699,0,0.03131136,0.0004686172,-0.01782799,761.5,0,0,27.02913,0.7831274,-1.570267,-19.20366,-8.6259,4.3934,-21.31119,48,8.412189,27,1.178793,75,0,0,0,0,-0.02537053,-0.001236804,10.73755,74.05753,14.64228,14.75659,5.105882,1.028991,-0.1079559,-0.9302063,-0.3456879,0,0,0,1036.238,-5.801509
03/10/2017 05:12:35.0958 PM,33.91054,-84.52698,3.106856,0.04920266,0.006042887,0.002520026,952.5,0,3.88204,27.02825,0.8003154,-0.4231262,-25.73093,-10.96994,5.82968,-20.56313,48,8.412189,27,1.205253,75,0,0,0,0,0.01591975,0.007021251,10.97321,60.50662,14.63514,14.75659,5.105882,3.243558,-0.1580048,-0.9315033,-0.36763,0,0,0,1035.99,-5.801509
