# FuelCalculationMethod = MassAirFlow
Time, Latitude (deg), Longitude (deg), Vehicle speed (MPH), Accel X (g), Accel Y (g), Accel Z (g), Engine RPM (RPM), Actual engine - percent torque (%), Instant fuel economy (MPG), Total fuel economy (MPG), Fuel rate (gal/hr), Rotation Rate X (deg/s), Rotation Rate Y (deg/s), Rotation Rate Z (deg/s), Roll (deg), Pitch (deg), Engine coolant temperature (C), Intake manifold absolute pressure (psi), Intake air temperature (C), Mass air flow rate (lb/min), Time since engine start (sec), Engine oil temperature (C), Engine fuel rate (gal/hr), Driver's demand engine - percent torque (%), Engine reference torque (lb•ft), Boost (psi), Acceleration (g), Acceleration (Avg) (g), Engine Power (hp), Engine Torque (lb•ft), A/F Commanded, A/F Actual, Fuel Remaining (gal), GPS Speed (MPH), Accel (Grav) X (g), Accel (Grav) Y (g), Accel (Grav) Z (g), Distance traveled while MIL is activated (miles), Total engine run time (sec), Total idle run time (sec), Altitude (ft)
03/01/2017 08:45:57.0982 AM,33.77753,-84.37076,0,-0.008424212,0.1022849,0.03804561,0,0,0,0,0,-0.007141113,-1.521713,0.2510223,-2.378374,-22.94621,36,6.236623,20,0,49,0,0,0,0,-8.267151,0,0,0,0,0,0,0,0,0.04562378,-0.9188538,-0.3840942,0,0,0,902.7463
03/01/2017 08:45:59.0715 AM,33.77754,-84.37077,0,-0.002659351,0.01173796,0.01115751,786.5,0,0,26.22307,0.7762855,0.1157684,-1.339264,0.3112793,-2.228916,-23.59341,36,6.236623,20,1.168209,49,0,0,0,0,-8.267151,0,0,10.64374,71.07706,14.63871,14.77445,2.415686,0.9171439,0.04190063,-0.9134064,-0.4033203,0,0,0,900.4359
03/01/2017 08:46:00.0875 AM,33.77755,-84.37076,0,0.0070454,0.01019598,0.01417005,786.5,0,0,26.22307,0.7762855,0.1792603,-1.096802,0.005493164,-2.16637,-24.10742,36,6.236623,20,1.168209,49,0,0,0,0,-8.267151,0,0,10.64374,71.07706,14.63871,14.77445,2.415686,0.9171439,0.02960205,-0.9171906,-0.41745,0,0,0,898.1643
03/01/2017 08:46:01.1082 AM,33.77756,-84.37078,0,0.008486081,0.009851241,-0.02082177,786.5,0,0,26.22307,0.7762855,-0.3059998,-0.3654175,-0.3643799,-2.263804,-24.86482,36,8.122113,20,1.168209,55,0,0,0,0,-6.091585,0,0,10.64374,71.07706,14.63871,14.77445,2.415686,2.415891,0.02752686,-0.9146576,-0.3943787,0,0,0,897.6428
03/01/2017 08:46:02.0902 AM,33.77755,-84.37078,0,0.007058797,0.01656955,-0.03613295,786.5,0,0,26.22307,0.7762855,0.1152191,-1.216736,0.5544739,-2.696429,-21.77574,36,8.122113,20,1.168209,55,0,0,0,0,-6.091585,0,0,10.64374,71.07706,14.63871,14.40607,2.415686,2.908017,0.03678894,-0.9374695,-0.3447418,0,0,0,896.1069
03/01/2017 08:46:03.0846 AM,33.77753,-84.37079,0,-0.007822742,-0.009472307,0.006649576,786.5,0,0,26.22307,0.7762855,-0.1832428,-0.6103516,-0.6677551,-2.986783,-22.51011,36,8.122113,20,1.168209,55,0,0,0,0,-6.091585,0,0,10.64374,71.07706,14.63871,14.40607,2.415686,1.543486,0.05334473,-0.9119263,-0.3890381,0,0,0,897.0413
03/01/2017 08:46:04.1053 AM,33.77753,-84.37079,0.6213712,-0.001408398,0.01478791,-0.01698176,786.5,0,0.9195514,26.21689,0.6757329,-0.49646,-1.153885,0.4923248,-3.089709,-23.66159,36,8.122113,20,1.017387,55,0,0,0,0,-6.091585,0.003028353,0.0006056707,9.265049,71.07706,14.63871,14.40607,2.415686,1.297423,0.05107117,-0.9297028,-0.3783112,0,0,0,896.9708
03/01/2017 08:46:05.1033 AM,33.77752,-84.3708,0.6213712,0.01595933,0.02003996,-0.008053226,710.5,0,0.9195514,26.21689,0.6757329,-0.196701,-1.761185,1.409836,-3.049093,-22.90917,36,7.687,20,1.017387,55,0,0,0,0,-6.526698,0.003028353,0.0006056707,9.265049,68.48851,14.63514,14.40607,2.415686,1.275054,0.03945923,-0.9382782,-0.3806,0,0,0,895.5623
03/01/2017 08:46:06.0951 AM,33.77752,-84.3708,1.242742,0.01741009,-0.01353524,-0.008573159,710.5,0,1.880219,26.21401,0.660956,0.05625916,-0.9127655,0.3091583,-1.989692,-23.7602,36,7.687,20,0.994896,55,0,0,0,0,-6.526698,0.008576728,0.001715346,9.062442,68.48851,14.63514,14.66684,2.415686,1.76718,0.02597046,-0.9003906,-0.3929596,0,0,0,896.1372
03/01/2017 08:46:07.0898 AM,33.77752,-84.37083,2.485485,0.02380021,0.03414221,-0.02169331,693.5,0,1.880219,26.21401,0.660956,0.5381012,-1.458527,1.653259,-1.995254,-23.47383,36,7.687,20,0.994896,55,0,0,0,0,-6.526698,0.0262914,0.005863951,9.062442,68.63297,14.64228,14.75659,2.415686,1.879026,0.01817322,-0.950592,-0.3770752,0,0,0,898.0654
