# FuelCalculationMethod = MassAirFlow
Time, Latitude (deg), Longitude (deg), Vehicle speed (MPH), Accel X (g), Accel Y (g), Accel Z (g), Engine RPM (RPM), Actual engine - percent torque (%), Instant fuel economy (MPG), Total fuel economy (MPG), Fuel rate (gal/hr), Rotation Rate X (deg/s), Rotation Rate Y (deg/s), Rotation Rate Z (deg/s), Roll (deg), Pitch (deg), Engine coolant temperature (C), Intake manifold absolute pressure (psi), Intake air temperature (C), Mass air flow rate (lb/min), Time since engine start (sec), Engine oil temperature (C), Engine fuel rate (gal/hr), Driver's demand engine - percent torque (%), Engine reference torque (lb•ft), Acceleration (g), Acceleration (Avg) (g), Engine Power (hp), Engine Torque (lb•ft), A/F Commanded, A/F Actual, Fuel Remaining (gal), GPS Speed (MPH), Accel (Grav) X (g), Accel (Grav) Y (g), Accel (Grav) Z (g), Distance traveled while MIL is activated (miles), Total engine run time (sec), Total idle run time (sec), Altitude (ft), Boost (psi)
03/31/2017 08:24:23.7100 AM,33.77928,-84.37006,1.242742,-0.005746393,-0.000644735,0.001202757,880,0,1.344691,26.24892,0,0.5242462,-10.36499,-3.423676,-2.36103,-26.17274,53,0,0,1.391796,0,0,0,0,0,0.0001584693,3.169385E-05,0,28.10888,14.59585,0,0,1.565855,0.04656982,-0.894989,-0.4324951,0,0,0,880.7859,0
03/31/2017 08:24:24.7107 AM,33.77929,-84.37006,1.242742,-0.004385646,0.008744122,-0.008979484,880,0,1.344691,26.24892,0,0.6435394,-12.31744,-4.5112,-3.196563,-25.49651,53,13.48851,20,1.391796,32,0,0,0,0,0.0001584693,3.169385E-05,0,28.10888,14.59585,0,0,0.984252,0.0561676,-0.9068298,-0.4182129,0,0,0,879.1731,-1.015264
03/31/2017 08:24:25.7138 AM,33.77929,-84.37006,1.242742,-0.01614353,-0.01244488,-0.01926459,880,0,1.344691,26.24892,0,0.7666473,-11.89085,-4.269272,-3.958143,-24.99152,53,13.48851,20,1.391796,32,0,0,0,0,0.0001584693,3.169385E-05,0,28.10888,14.59585,14.68828,12.95686,2.594846,0.08218384,-0.8866577,-0.3992767,0,0,0,879.212,-1.015264
03/31/2017 08:24:26.7141 AM,33.77929,-84.37005,1.242742,0.0008703917,0.02822811,-0.05021469,880,0,1.344691,26.24892,0,0.6522369,-6.644058,-1.247208,-5.213893,-23.27395,53,13.48851,20,1.391796,32,0,0,0,0,0.0001584693,3.169385E-05,0,28.10888,14.59585,14.68828,12.95686,1.722441,0.08110046,-0.9369659,-0.344986,0,0,0,875.367,-1.015264
03/31/2017 08:24:27.7143 AM,33.77929,-84.37004,1.242742,0.01945442,0.02129711,-0.009048292,835.5,0,1.622703,26.24686,0.7658471,0.8501892,-1.585968,0.1307068,-4.792277,-22.37844,54,13.48851,20,1.149687,32,0,0,0,0,0.0001584693,3.169385E-05,10.50062,66.00888,14.59227,14.68828,12.95686,1.431639,0.05126953,-0.934845,-0.381424,0,0,0,876.8369,-1.015264
03/31/2017 08:24:28.7161 AM,33.77929,-84.37004,1.242742,-0.0001292507,0.01215713,-0.03799498,835.5,0,1.622703,26.24686,0.7658471,0.1729431,-1.764114,0.8618927,-3.060979,-22.91416,54,13.48851,20,1.149687,35,0,0,0,0,0.0001584693,3.169385E-05,10.50062,66.00888,14.59227,14.1846,12.95686,0.6710809,0.0559845,-0.9274902,-0.3566132,0,0,0,878.5734,-0.580151
03/31/2017 08:24:29.7161 AM,33.77929,-84.37004,0,0.05215066,0.002381737,-0.009569821,810.5,0,0,26.2455,0.7387077,-0.09597778,-11.39537,-2.505508,-0.5787449,-19.80922,54,13.48851,20,1.108674,35,0,0,0,0,-0.005832712,-0.001134848,10.1285,65.63362,14.59942,14.1846,12.95686,0.3802792,-0.02740479,-0.9365997,-0.3396912,0,0,0,874.6441,-0.580151
03/31/2017 08:24:30.7161 AM,33.77929,-84.37004,1.864114,0.02062849,-0.005745237,0.02059975,810.5,0,3.125127,26.24499,0.5964921,-1.919739,-14.81792,-8.708267,1.164899,-21.85146,54,13.48851,20,0.895671,35,0,0,0,0,0.01102481,0.002236656,8.17857,65.63362,14.59585,14.33106,12.95686,0.3802792,-0.03321838,-0.9191742,-0.3885803,0,0,0,874.6441,-0.580151
03/31/2017 08:24:31.7184 AM,33.7793,-84.37004,3.728227,-0.03599285,0.03696033,-0.1367239,758.5,0,6.069421,26.24444,0.6142641,49.47342,-41.55965,-12.0396,1.160707,-18.32556,54,13.48851,20,0.922131,35,0,0,0,0,0.0298427,0.004833691,8.422243,56.63121,14.59585,14.65613,12.95686,3.086972,0.01759338,-0.9544067,-0.2487335,0,0,0,875.2907,-0.580151
03/31/2017 08:24:32.7181 AM,33.77932,-84.37003,4.349598,-0.07846233,0.2808127,-0.1213159,911,0,5.520638,26.24383,0.7878796,99.7749,45.04581,-12.25613,-0.7295363,-2.930738,54,13.48851,20,1.182762,35,0,0,0,0,0.01902842,0.00604234,10.8027,48.55606,14.59585,14.2239,12.95686,4.473873,0.05648804,-1.280548,-0.1556702,0,0,0,874.3049,-0.580151
